wine_name,matching_keywords,matching_groups,matched_keyword_count
Hommage à Jacques Perrin Châteauneuf-du-Pape,coffee,"oak,non_oak",1
Howell Mountain Cabernet Sauvignon,coffee,"oak,non_oak",1
Hyde Vineyard Chardonnay,citrus,citrus_fruit,1
Il Bricco Barbaresco,coffee,"oak,non_oak",1
Il San Lorenzo Bianco,cream,microbio,1
Kairos,coffee,"oak,non_oak",1
Kevin Arnold Shiraz,coffee,"oak,non_oak",1
Kurni Marche,coffee,"oak,non_oak",1
L'Apparita,coffee,"oak,non_oak",1
L'Hermitage,coffee,"oak,non_oak",1
La Chapelle de La Mission Haut-Brion Pessac-Léognan,coffee,"oak,non_oak",1
La Cueva del Contador Rioja,coffee,"oak,non_oak",1
La Joie,coffee,"oak,non_oak",1
Lagrein Riserva Porphyr,coffee,"oak,non_oak",1
Le Désir,coffee,"oak,non_oak",1
Le Petit Mouton de Mouton Rothschild Pauillac,coffee,"oak,non_oak",1
Lion Tamer Napa Valley Red Blend,cream,microbio,1
Luce Brunello di Montalcino,coffee,"oak,non_oak",1
Lupi Rezerva,coffee,"oak,non_oak",1
Lupicaia,coffee,"oak,non_oak",1
Mai The First A.Montes Malbec,coffee,"oak,non_oak",1
Malbec,coffee,"oak,non_oak",1
Malleolus de Sanchomartin,coffee,"oak,non_oak",1
Mazzano Amarone Della Valpolicella Classico,coffee,"oak,non_oak",1
Messorio,coffee,"oak,non_oak",1
Meursault 1er Cru 'Les Genevrières',citrus,citrus_fruit,1
Montepulciano d'Abruzzo,coffee,"oak,non_oak",1
Montrachet Grand Cru,citrus,citrus_fruit,1
Montrachet Grand Cru,citrus,citrus_fruit,1
Montrachet Grand Cru Blanc,citrus,citrus_fruit,1
Mossone,coffee,"oak,non_oak",1
Nosotros Single Vineyard Nómade,toast,"non_oak,microbio",1
Nuits-Saint-Georges 1er Cru Les Damodes,toast,"non_oak,microbio",1
Pedro Ximenez Tradición 20 Years Old Vos,coffee,"oak,non_oak",1
Percarlo,coffee,"oak,non_oak",1
Perpetual,coffee,"oak,non_oak",1
Pessac-Léognan Blanc (Grand Cru Classé de Graves),citrus,citrus_fruit,1
Pietro Dal Cero Amarone della Valpolicella,coffee,"oak,non_oak",1
Pieve Santa Restituta Rennina Brunello di Montalcino,coffee,"oak,non_oak",1
Pingus,coffee,"oak,non_oak",1
Poggio all'Oro Brunello di Montalcino Riserva,coffee,"oak,non_oak",1
Pomerol,coffee,"oak,non_oak",1
Pomerol,coffee,"oak,non_oak",1
Pomerol,coffee,"oak,non_oak",1
Pomerol,coffee,"oak,non_oak",1
Primitivo di Manduria,coffee,"oak,non_oak",1
Puligny-Montrachet 1er Cru 'La Garenne',toast,"microbio,non_oak",1
Recioto della Valpolicella Classico,coffee,"oak,non_oak",1
Red,coffee,"oak,non_oak",1
Rioja Blanco Reserva,cream,microbio,1
S.L.V. Cabernet Sauvignon,coffee,"oak,non_oak",1
Saint-Emilion Grand Cru (Premier Grand Cru Classé),coffee,"oak,non_oak",1
Saint-Émilion Grand Cru (Grand Cru Classé),coffee,"oak,non_oak",1
Saint-Émilion Grand Cru (Premier Grand Cru Classé),coffee,"oak,non_oak",1
Saperavi,coffee,"oak,non_oak",1
Scharzhofberger Riesling Spätlese,citrus,citrus_fruit,1
Scrio,coffee,"oak,non_oak",1
Series C,coffee,"oak,non_oak",1
Series M,coffee,"oak,non_oak",1
Solare Toscana,coffee,"oak,non_oak",1
Sorì San Lorenzo,coffee,"oak,non_oak",1
TD9,coffee,"oak,non_oak",1
Tessons Clos de Mon Plaisir Meursault,citrus,citrus_fruit,1
Tokaji Aszú 6 Puttonyos,citrus,citrus_fruit,1
Toscana Camartina,coffee,"oak,non_oak",1
Toscana I Sodi di San Niccolo,coffee,"oak,non_oak",1
Toscana Rosso,coffee,"oak,non_oak",1
Trasnocho,coffee,"oak,non_oak",1
Turriga Isola dei Nuraghi,coffee,"oak,non_oak",1
VIK,coffee,"oak,non_oak",1
VV 26 Blanc de Blancs Vieilles Vignes Grand Cru Brut,toast,"non_oak,microbio",1
Vecchie Vigne Brunello di Montalcino,coffee,"oak,non_oak",1
Veneto Alzero Cabernet,coffee,"oak,non_oak",1
Veneto Rosso del Bepi,coffee,"oak,non_oak",1
Vigna Cappella di S. Stefano Perno Barolo,coffee,"oak,non_oak",1
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,coffee,"oak,non_oak",1
Vin Santo di Montepulciano Occhio di Pernice,coffee,"oak,non_oak",1
Vintage Port,coffee,"oak,non_oak",1
Vürsù Barbaresco Starderi,coffee,"oak,non_oak",1
Vürsù Barolo Campè,coffee,"oak,non_oak",1
Yarden Katzrin,coffee,"oak,non_oak",1
d'Alceo,coffee,"oak,non_oak",1
